Date	company_id	company_name	cusip8	MSCIsec	ticker
06/30/2013	NYHJP1-S-US	Stryker Corp.	86366710	Health Care	SYK US
06/30/2013	L1Z4CD-S-US	Sykes Enterprises Inc.	87123710	Industrials	SYKE US
06/30/2013	L9QXLC-S-US	Symantec Corp.	87150310	Information Technology	SYMC US
06/30/2013	DBTDCJ-S-US	Symmetricom Inc.	87154310	Information Technology	SYMM
06/30/2013	W0Z4W6-S-US	Synaptics Inc.	87157D10	Information Technology	SYNA US
06/30/2013	G6FPC1-S-US	Synacor Inc.	87156110	Information Technology	SYNC US
06/30/2013	K7T90J-S-US	Syntel Inc.	87162H10	Information Technology	SYNT US
06/30/2013	PX4X3V-S-US	Sypris Solutions Inc.	87165510	Industrials	SYPR US
06/30/2013	LP318Y-S-US	Synergy Resources Corp.	87164P10	Energy	SYRG US
06/30/2013	J866XV-S-US	Synutra International Inc.	87164C10	Consumer Staples	SYUT US
06/30/2013	WHRQGK-S-US	Systemax Inc.	87185110	Consumer Discretionary	SYX US
06/30/2013	TY2J26-S-US	Sysco Corp.	87182910	Consumer Staples	SYY US
06/30/2013	BKDXWV-S-US	Solazyme Inc.	83415T10	Energy	SZYM US
06/30/2013	PQJ6YX-S-US	AT&T Inc.	00206R10	Telecommunication Services	T US
06/30/2013	RWMW7K-S-US	Tahoe Resources Inc.		Materials	TAHO
06/30/2013	D2TLRZ-S-US	TAL International Group Inc.	87408310	Industrials	TAL US
06/30/2013	HY0FNH-S-US	Molson Coors Brewing Co.	60871R20	Consumer Staples	TAP US
06/30/2013	D55HTD-S-US	TASER International Inc.	87651B10	Industrials	TASR US
06/30/2013	DBRS90-S-US	Carrols Restaurant Group Inc.	14574X10	Consumer Discretionary	TAST US
06/30/2013	S6KXRN-S-US	Medallion Financial Corp.	58392810	Financials	TAXI US
06/30/2013	WW2W63-S-US	Taylor Capital Group Inc.	87685110	Financials	TAYC US
06/30/2013	C24GM8-S-US	The Bancorp Inc. (Delaware)	05969A10	Financials	TBBK US
06/30/2013	HLW22G-S-US	TrueBlue Inc.	89785X10	Industrials	TBI US
06/30/2013	CW4SG0-S-US	Territorial Bancorp Inc.	88145X10	Financials	TBNK US
06/30/2013	P0ZV3L-S-US	Triangle Capital Corp.	89584810	Financials	TCAP US
06/30/2013	VXQ34C-S-US	TCF Financial Corp.	87227510	Financials	TCB US
06/30/2013	B4Q0H1-S-US	Texas Capital Bancshares Inc.	88224Q10	Financials	TCBI US
06/30/2013	JJ4DFW-S-US	TriCo Bancshares	89609510	Financials	TCBK US
06/30/2013	NNF3YY-S-US	Taubman Centers Inc.	87666410	Financials	TCO US
06/30/2013	K8QDS1-S-US	TCP Capital Corp.	87238Q10	Financials	TCPC US
06/30/2013	D6D7XY-S-US	THL Credit Inc.	87243810	Financials	TCRD US
06/30/2013	NVC84R-S-US	Teradata Corp.	88076W10	Information Technology	TDC US
06/30/2013	QBWP5F-S-US	TransDigm Group Inc.	89364110	Industrials	TDG US
06/30/2013	LKQGQP-S-US	Telephone & Data Systems Inc.	87943382	Telecommunication Services	TDS US
06/30/2013	D3VV87-S-US	Tidewater Inc.	88642310	Energy	TDW US
06/30/2013	Q3VM8S-S-US	Teledyne Technologies Inc.	87936010	Industrials	TDY US
06/30/2013	CB0RJJ-S-US	TECO Energy Inc.	87237510	Utilities	TE US
06/30/2013	BNKYQQ-S-US	Tech Data Corp.	87823710	Information Technology	TECD US
06/30/2013	JLJ543-S-US	Techne Corp.	87837710	Health Care	TECH US
06/30/2013	BV84S2-S-US	Integrys Energy Group Inc.	45822P10	Utilities	TEG US
