date	_STAT_	BIDLO	ASKHI	PRC	VOL	RET	BID	ASK	OPENPRC	RETX	vwretd	vwretx	ewretd	ewretx
20000127	MEAN	23.66747449	24.664923469	23.78424751	438938.48163	0.0002947755	24.188841202	24.572022532	24.294476141	0.0002713796	-0.003509	-0.003587	-0.002212	-0.002354
20000128	MEAN	23.427806122	24.378316327	23.177423469	424520.61633	-0.011827727	23.995223799	24.401746725	23.899664256	-0.01188202	-0.028024	-0.028109	-0.015012	-0.015083
20000131	MEAN	23.130484694	24.134821429	22.979846939	362086.58367	-0.00263398	24.143398268	24.495670996	23.726757833	-0.00263398	0.014702	0.014698	-0.005351	-0.005368
20000201	MEAN	23.154081633	24.032142857	23.414923469	393313.42857	-0.000139253	23.786233836	24.151804957	23.572145062	-0.000155416	0.012315	0.01231	0.008012	0.007965
20000202	MEAN	23.260778082	24.097002571	23.339030612	342017.46122	0.0047642286	23.881764069	24.235119048	23.760049295	0.0046909143	0.003096	0.002992	0.008158	0.007994
20000203	MEAN	23.337946449	24.23992351	23.631505143	338779.46531	0.0074550408	24.045995671	24.427083333	23.713348807	0.0073544449	0.0156	0.015525	0.013508	0.013454
20000204	MEAN	23.409821429	24.293494898	21.155676041	327663.13061	-0.001371363	23.058423913	23.430298913	22.920305983	-0.001459216	0.001021	0.000995	0.006727	0.006689
20000207	MEAN	23.278762776	24.198469429	23.170535755	326960.97551	-0.006037069	23.844022926	24.25095524	24.083551297	-0.006039404	0.00308	0.00306	0.009048	0.009021
20000208	MEAN	23.268622449	24.193494939	23.53877551	375812.02449	-0.003342278	23.979820628	24.393637892	23.791473786	-0.003382702	0.012729	0.012672	0.009961	0.009904
20000209	MEAN	23.028443878	24.057844408	22.701785714	351548.93878	-0.003369522	23.614262115	24.00027533	23.522497427	-0.003500163	-0.017177	-0.017348	-0.00175	-0.001833
20000210	MEAN	22.848278082	23.848214286	23.089285755	382143.87755	-0.007416016	23.310622318	23.699168455	23.643801867	-0.007555437	0.006504	0.006488	0.007363	0.007309
20000211	MEAN	22.675382653	23.584056122	22.733737265	354420.83265	-0.010913188	23.1530837	23.564702643	23.445733942	-0.010986608	-0.017328	-0.017428	-0.001085	-0.001264
20000214	MEAN	22.613903061	23.535841837	23.075382653	313573.58367	0.0072149878	23.450578194	23.836453744	23.077803498	0.0072149878	0.002685	0.002652	0.007277	0.007242
20000215	MEAN	22.758545918	23.729081633	23.025000041	349309.17143	0.0055004694	23.453331498	23.80878304	23.290326763	0.0055004694	0.007356	0.007344	0.001401	0.001349
20000216	MEAN	22.895344449	23.74177298	23.065561224	301456.64898	0.000642702	23.581468341	23.963155022	23.489432075	0.0004044	-0.005253	-0.005398	0.003993	0.003921
20000217	MEAN	22.923086735	23.819132653	23.326977061	380373.36735	0.0044348571	23.050815217	23.449184783	23.37339251	0.0043462082	0.005032	0.005017	0.010403	0.010354
20000218	MEAN	22.735012776	23.713392898	22.801275551	335726.01224	-0.011965996	23.223654709	23.589966368	23.445247934	-0.012007873	-0.026031	-0.026033	-0.006766	-0.006775
20000222	MEAN	22.564540857	23.576530612	22.971811224	314363.47755	0.0036790939	22.884498899	23.276707048	23.14314314	0.003662249	0.000559	0.000538	-0.000442	-0.000468
